substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
126,0,0,-1.0,443,1,0.0172,1.158733333,0
126,0,0,-1.0,443,2,0.0172,0.017275,0
126,0,0,-1.0,443,3,0.0172,0.381266667,0
126,0,0,-1.0,514,1,0.000349852,1.068866667,0
126,0,0,-1.0,514,2,0.000349852,0.018926667,0
126,0,0,-1.0,514,3,0.000349852,0.06934,0
126,0,0,-1.0,689,1,0.000279193,1.665766667,0
126,0,0,-1.0,689,2,0.000279193,0.16231,0
126,0,0,-1.0,689,3,0.000279193,0.145553333,0
126,0,0,-1.0,781,1,0.000262346,1.210933333,0
126,0,0,-1.0,781,2,0.000262346,0.026456667,0
126,0,0,-1.0,781,3,0.000262346,0.21913,0
126,0,0,-1.0,817,1,0.000255754,0.5333,0
126,0,0,-1.0,817,2,0.000255754,0.010327333,0
126,0,0,-1.0,817,3,0.000255754,0.151416667,0
126,900,0,32.75207,443,1,0.016012143,1.166266667,1
126,900,0,32.75207,443,2,0.016012143,0.032756667,1
126,900,0,32.75207,443,3,0.016012143,0.381,1
126,900,0,49.0891696,514,1,0.013132143,1.104166667,1
126,900,0,49.0891696,514,2,0.013132143,0.030683333,1
126,900,0,49.0891696,514,3,0.013132143,0.072756667,1
126,900,0,65.3699281,689,1,0.01019,1.708166667,1
126,900,0,65.3699281,689,2,0.01019,0.149613333,1
126,900,0,65.3699281,689,3,0.01019,0.139773333,1
126,900,0,81.6929466,781,1,0.00927,1.250166667,1
126,900,0,81.6929466,781,2,0.00927,0.040236667,1
126,900,0,81.6929466,781,3,0.00927,0.241883333,1
126,900,0,97.9687234,817,1,0.00891,0.564666667,1
126,900,0,97.9687234,817,2,0.00891,0.020484333,1
126,900,0,97.9687234,817,3,0.00891,0.15569,1
126,900,0,130.7337805,443,1,0.01576,1.1498,1
126,900,0,130.7337805,443,2,0.01576,0.03174,1
126,900,0,130.7337805,443,3,0.01576,0.3808,1
126,900,0,147.0263943,514,1,0.01312,1.094566667,1
126,900,0,147.0263943,514,2,0.01312,0.030886667,1
126,900,0,147.0263943,514,3,0.01312,0.072546667,1
126,900,0,163.2902159,689,1,0.01027,1.779,1
126,900,0,163.2902159,689,2,0.01027,0.1507,1
126,900,0,163.2902159,689,3,0.01027,0.001479,1
126,900,0,179.9389571,781,1,0.009370022,1.125233333,1
126,900,0,179.9389571,781,2,0.009370022,0.037056667,1
126,900,0,179.9389571,781,3,0.009370022,0.223126667,1
126,900,0,196.2496307,817,1,0.009017857,0.5183,1
126,900,0,196.2496307,817,2,0.009017857,0.019332333,1
126,900,0,196.2496307,817,3,0.009017857,0.141046667,1
126,900,0,229.072458,443,1,0.01589,1.090966667,1
126,900,0,229.072458,443,2,0.01589,0.035843333,1
126,900,0,229.072458,443,3,0.01589,0.38,1
126,900,0,245.3497843,514,1,0.01319,1.0626,1
126,900,0,245.3497843,514,2,0.01319,0.030396667,1
126,900,0,245.3497843,514,3,0.01319,0.071116667,1
126,900,0,261.6571052,689,1,0.01029,1.666233333,1
126,900,0,261.6571052,689,2,0.01029,0.141033333,1
126,900,0,261.6571052,689,3,0.01029,0.132683333,1
126,900,0,277.9219357,781,1,0.009365893,1.111866667,1
