substrate,T_cell,T_sub,time,wavelength,"measurement (t,r,p)",r_background,mW,step
102,0,0,-1,443,1,0.003911111,3.732666667,0
102,0,0,-1,443,2,0.003911111,0.087583333,0
102,0,0,-1,443,3,0.003911111,0.386,0
102,0,0,-1,514,1,0.00324037,2.510366667,0
102,0,0,-1,514,2,0.00324037,0.03153,0
102,0,0,-1,514,3,0.00324037,0.070366667,0
102,0,0,-1,689,1,0.00253,1.811533333,0
102,0,0,-1,689,2,0.00253,0.15482,0
102,0,0,-1,689,3,0.00253,0.146773333,0
102,0,0,-1,781,1,0.0023,1.2113,0
102,0,0,-1,781,2,0.0023,0.032066667,0
102,0,0,-1,781,3,0.0023,0.21838,0
102,0,0,-1,817,1,0.00221,0.949266667,0
102,0,0,-1,817,2,0.00221,0.020263667,0
102,0,0,-1,817,3,0.00221,0.235633333,0
102,900,0,32.7486547,443,1,0.009670714,3.726666667,1
102,900,0,32.7486547,443,2,0.009670714,0.09608,1
102,900,0,32.7486547,443,3,0.009670714,0.386,1
102,900,0,49.0703574,514,1,0.00794,2.553433333,1
102,900,0,49.0703574,514,2,0.00794,0.0333,1
102,900,0,49.0703574,514,3,0.00794,0.070363333,1
102,900,0,65.3977207,689,1,0.00617,2.0083,1
102,900,0,65.3977207,689,2,0.00617,0.12792,1
102,900,0,65.3977207,689,3,0.00617,0.1474,1
102,900,0,81.6597552,781,1,0.005625034,1.3371,1
102,900,0,81.6597552,781,2,0.005625034,0.030276667,1
102,900,0,81.6597552,781,3,0.005625034,0.219196667,1
102,900,0,97.9893856,817,1,0.005411786,1.083433333,1
102,900,0,97.9893856,817,2,0.005411786,0.026655,1
102,900,0,97.9893856,817,3,0.005411786,0.24628,1
102,900,0,130.8584687,443,1,0.00962,3.666666667,1
102,900,0,130.8584687,443,2,0.00962,0.086886667,1
102,900,0,130.8584687,443,3,0.00962,0.385966667,1
102,900,0,147.1786129,514,1,0.008028929,2.5275,1
102,900,0,147.1786129,514,2,0.008028929,0.03161,1
102,900,0,147.1786129,514,3,0.008028929,0.070143333,1
102,900,0,163.5257261,689,1,0.00629,2.004333333,1
102,900,0,163.5257261,689,2,0.00629,0.115866667,1
102,900,0,163.5257261,689,3,0.00629,0.14755,1
102,900,0,179.8765648,781,1,0.00574375,1.290133333,1
102,900,0,179.8765648,781,2,0.00574375,0.030066667,1
102,900,0,179.8765648,781,3,0.00574375,0.212283333,1
102,900,0,196.174141,817,1,0.00553,0.954733333,1
102,900,0,196.174141,817,2,0.00553,0.026491333,1
102,900,0,196.174141,817,3,0.00553,0.230606667,1
102,900,0,228.9756906,443,1,0.00978,3.442333333,1
102,900,0,228.9756906,443,2,0.00978,0.10791,1
102,900,0,228.9756906,443,3,0.00978,0.386,1
102,900,0,245.3313534,514,1,0.008147143,2.4982,1
102,900,0,245.3313534,514,2,0.008147143,0.032393333,1
102,900,0,245.3313534,514,3,0.008147143,0.07014,1
102,900,0,261.6528763,689,1,0.00636,1.993466667,1
102,900,0,261.6528763,689,2,0.00636,0.116556667,1
102,900,0,261.6528763,689,3,0.00636,0.147003333,1
102,900,0,277.9838476,781,1,0.005799375,1.295133333,1
102,900,0,277.9838476,781,2,0.005799375,0.02992,1
102,900,0,277.9838476,781,3,0.005799375,0.216423333,1
102,900,0,294.3373571,817,1,0.00558,1.0669,1
102,900,0,294.3373571,817,2,0.00558,0.02883,1
102,900,0,294.3373571,817,3,0.00558,0.25414,1
102,900,0,327.0628641,443,1,0.00986,3.073333333,1
102,900,0,327.0628641,443,2,0.00986,0.161226667,1
102,900,0,327.0628641,443,3,0.00986,0.385,1
102,900,0,343.3848036,514,1,0.00821,2.395633333,1
102,900,0,343.3848036,514,2,0.00821,0.036813333,1
102,900,0,343.3848036,514,3,0.00821,0.069356667,1
102,900,0,359.6722962,689,1,0.00642,2.031066667,1
102,900,0,359.6722962,689,2,0.00642,0.124346667,1
102,900,0,359.6722962,689,3,0.00642,0.15217,1
102,900,0,376.0463322,781,1,0.005852188,1.296866667,1
102,900,0,376.0463322,781,2,0.005852188,0.030373333,1
102,900,0,376.0463322,781,3,0.005852188,0.215166667,1
102,900,0,392.383126,817,1,0.00563,1.015133333,1
102,900,0,392.383126,817,2,0.00563,0.028966667,1
102,900,0,392.383126,817,3,0.00563,0.248183333,1
102,900,0,425.2408211,443,1,0.00995,2.6859,1
102,900,0,425.2408211,443,2,0.00995,0.246113333,1
102,900,0,425.2408211,443,3,0.00995,0.385,1
102,900,0,441.5605671,514,1,0.00828,2.3223,1
102,900,0,441.5605671,514,2,0.00828,0.052866667,1
102,900,0,441.5605671,514,3,0.00828,0.069846667,1
102,900,0,457.8408117,689,1,0.00647,1.9617,1
102,900,0,457.8408117,689,2,0.00647,0.125493333,1
102,900,0,457.8408117,689,3,0.00647,0.147043333,1
102,900,0,474.1605198,781,1,0.005902188,1.247266667,1
102,900,0,474.1605198,781,2,0.005902188,0.031326667,1
102,900,0,474.1605198,781,3,0.005902188,0.210093333,1
102,900,0,490.5128493,817,1,0.00568,0.9639,1
102,900,0,490.5128493,817,2,0.00568,0.02928,1
102,900,0,490.5128493,817,3,0.00568,0.238216667,1
102,900,0,523.2557117,443,1,0.010038929,2.333033333,1
102,900,0,523.2557117,443,2,0.010038929,0.348133333,1
102,900,0,523.2557117,443,3,0.010038929,0.386,1
102,900,0,539.5725486,514,1,0.00835,2.2032,1
102,900,0,539.5725486,514,2,0.00835,0.07836,1
102,900,0,539.5725486,514,3,0.00835,0.070046667,1
102,900,0,555.8854653,689,1,0.006525357,1.9638,1
102,900,0,555.8854653,689,2,0.006525357,0.14009,1
102,900,0,555.8854653,689,3,0.006525357,0.149326667,1
102,900,0,572.2582764,781,1,0.005952097,1.316666667,1
102,900,0,572.2582764,781,2,0.005952097,0.034723333,1
102,900,0,572.2582764,781,3,0.005952097,0.218876667,1
102,900,0,588.6116669,817,1,0.005727778,0.986166667,1
102,900,0,588.6116669,817,2,0.005727778,0.031436667,1
102,900,0,588.6116669,817,3,0.005727778,0.2398,1
102,900,0,621.4320756,443,1,0.010119286,2.0217,1
102,900,0,621.4320756,443,2,0.010119286,0.459533333,1
102,900,0,621.4320756,443,3,0.010119286,0.386,1
102,900,0,637.7902739,514,1,0.00842,2.051866667,1
102,900,0,637.7902739,514,2,0.00842,0.10913,1
102,900,0,637.7902739,514,3,0.00842,0.06997,1
102,900,0,654.0861753,689,1,0.00658,1.9189,1
102,900,0,654.0861753,689,2,0.00658,0.1551,1
102,900,0,654.0861753,689,3,0.00658,0.147623333,1
102,900,0,670.4522417,781,1,0.005997813,1.280866667,1
102,900,0,670.4522417,781,2,0.005997813,0.037643333,1
102,900,0,670.4522417,781,3,0.005997813,0.217196667,1
102,900,0,686.7635525,817,1,0.00577,0.896133333,1
102,900,0,686.7635525,817,2,0.00577,0.032063333,1
102,900,0,686.7635525,817,3,0.00577,0.228626667,1
102,900,0,719.5310555,443,1,0.010198148,1.755566667,1
102,900,0,719.5310555,443,2,0.010198148,0.5722,1
102,900,0,719.5310555,443,3,0.010198148,0.3853,1
102,900,0,735.8657208,514,1,0.008487143,1.8621,1
