X,Y,Z,T0,t0
5.366806165116741795e+03,8.539152900057304123e+02,2.455198676606374086e-01,1.555281006179188353e+03,8.557910061557824974e+02
5.326613126770805138e+03,8.542122846225724970e+02,2.450752225951317309e-01,4.071355743522684406e+03,9.082591082502386826e+02
8.419779720338625339e+03,8.400000000000000000e+02,2.600472837563767015e-01,7.097344775787573781e+03,8.730423085364020608e+02
8.348943755367803533e+03,8.400000000000000000e+02,2.601644081289244959e-01,9.370218520577012896e+03,8.998423902757423321e+02
6.547277674885357555e+03,8.498513270212438329e+02,2.490555939202304114e-01,6.622229164677322842e+03,8.518477055515789971e+02
5.687689980139745785e+03,8.523031574276519677e+02,2.466574777024163057e-01,5.514779292526748577e+03,8.843601948847932590e+02
8.565378643398131317e+03,8.400000000000000000e+02,2.598101014373065953e-01,7.733375099420545666e+03,9.074488765083170847e+02
5.603917166347553575e+03,8.537258693074772964e+02,2.454209450866138287e-01,9.716971477187506025e+03,9.047191718202343509e+02
8.636277648008945107e+03,8.400000000000000000e+02,2.598828290156242615e-01,1.055209782614209689e+04,8.816127519127596770e+02
4.587702176017516649e+03,8.572595975246090347e+02,2.510194593053568513e-01,3.685077604783545667e+03,8.814072920386255419e+02
8.606927217945296434e+03,8.400000000000000000e+02,2.598839476807461857e-01,9.502412333553940698e+03,8.708172224541069681e+02
6.660581096587957290e+03,8.484723986707347194e+02,2.496179114940769161e-01,6.756473666506658446e+03,8.997704781498069906e+02
5.712215203833226951e+03,8.527768585845958569e+02,2.457578018076677084e-01,1.131990650395308194e+03,8.954124062094648480e+02
8.425625883300839632e+03,8.400000000000000000e+02,2.599630340312503729e-01,7.489445229600748462e+03,8.666572967110088257e+02
8.617281994472441511e+03,8.400000000000000000e+02,2.599672731173290341e-01,8.916963808082029573e+03,8.916647481402601443e+02
8.760931446592236171e+03,8.400000000000000000e+02,2.604486089687690908e-01,1.030053158467006870e+04,8.422610978344906698e+02
5.501236536617441743e+03,8.533002388182642335e+02,2.459382560556939712e-01,2.521081690474332390e+03,8.860674578720581849e+02
8.533529612868451295e+03,8.400000000000000000e+02,2.599626034888083415e-01,9.176756086005152611e+03,8.879709884584992778e+02
8.455475938813560788e+03,8.400000000000000000e+02,2.599061176134459528e-01,9.556741016937186942e+03,8.915184451814016029e+02
4.399434762953475001e+03,8.598846935957799360e+02,2.509464902310689638e-01,4.151917579462598951e+03,8.495842639349251613e+02
8.577891386193263315e+03,8.400000000000000000e+02,2.598638894892458806e-01,8.289576827144468552e+03,9.075793391106869876e+02
5.608545408460589897e+03,8.533629796090518767e+02,2.458109783191222419e-01,2.953749297334576113e+03,8.548813588051036731e+02
5.964594620110176038e+03,8.511928203851905437e+02,2.477215252781844457e-01,1.327559670476616247e+03,8.489522234736899691e+02
5.590324709420716317e+03,8.527035037312029999e+02,2.457911434238281290e-01,5.239471511131348961e+03,9.004409691632544082e+02
5.924174203374604986e+03,8.510629071185735484e+02,2.475850251132515334e-01,2.566261881860105859e+03,8.799369449013333906e+02
5.726067231574700600e+03,8.530120597050668039e+02,2.466570338710339927e-01,2.374540300112211298e+03,8.642609053091590567e+02
5.026046052889831117e+03,8.570930656663181253e+02,2.477526674622568259e-01,1.407838707276719560e+03,8.776942750401441344e+02
8.351799852207263029e+03,8.400000000000000000e+02,2.602204737695712478e-01,8.049903889976076243e+03,8.540874846094708346e+02
