X,Y,Z
8.191202900243632030e+03,8.940573961727044434e+02,1.232579425791727523e+00
7.859731270364230113e+03,8.418423992737098160e+02,2.598864883601321174e-01
1.056092145906615951e+04,8.486733260583862375e+02,4.184517938299033846e-01
8.588128870691143675e+03,8.824640333333750277e+02,1.005642385205551603e+00
1.070578479215599691e+04,8.637758354473860436e+02,7.976075600619348949e-01
2.506704640838323940e+03,8.576118213448654615e+02,4.867183448977565607e-01
8.499170342185439949e+03,8.723111402568428048e+02,7.545318741040878407e-01
3.513482762072144851e+03,8.645972958772110815e+02,2.704479164617543674e-01
8.300547513722429358e+03,8.736563661255294164e+02,7.665452894352771107e-01
7.060390472803254852e+03,8.757040294548683050e+02,6.993409772164977944e-01
1.529774678921190116e+03,8.777536628975132089e+02,4.797761485086949884e-01
6.921432912357156056e+03,8.731278105221945225e+02,6.217938390732358211e-01
9.052837048031460654e+03,8.592214671517131137e+02,5.070909488659185449e-01
9.452406325919402661e+03,8.504466490234287903e+02,3.727584834016879900e-01
1.039224390464580756e+04,8.693503728285813850e+02,9.047749039002621618e-01
1.155820116156679615e+04,8.628126178098829087e+02,8.929046663588889876e-01
8.294548379649808339e+03,8.675306868784208518e+02,6.216939978095790131e-01
4.173080559008038108e+03,8.491826982051592267e+02,3.659781507006938939e-01
3.325478115476143103e+03,8.695112753823526646e+02,2.781526992615737104e-01
9.882744602814291284e+03,8.771750635814909174e+02,1.032868532340220913e+00
1.038395589574268161e+04,9.094729446523547267e+02,1.818818891083578970e+00
5.431846220020301189e+03,8.451883024466493453e+02,3.141086601626348340e-01
1.033135116333562564e+03,8.783755252991653606e+02,6.676218630774835017e-01
1.101111607944664865e+04,8.792788204489064583e+02,1.275159491703215409e+00
1.104221035426937851e+04,8.825366257873838549e+02,1.365872858745921015e+00
5.796969753286471132e+03,9.086417594498504968e+02,1.481385350392281142e+00
6.598404693677146497e+03,9.019106089512009703e+02,1.341643834194539364e+00
5.963254348589192887e+03,8.516703643058737043e+02,2.485192678612331285e-01
1.074622329829504815e+04,8.808976455582793506e+02,1.263551485085572246e+00
1.050642209682469365e+04,8.648193766163852843e+02,7.999525563358400593e-01
6.378427638614324678e+03,8.786529246523593883e+02,7.052168658272591761e-01
1.302553840525765963e+03,9.021399000606805885e+02,5.323037819763057898e-01
1.183251538804424399e+03,8.625231860745358290e+02,8.754153241193864954e-01
4.353634008656656988e+03,8.685723815883538919e+02,3.005233272595298488e-01
1.607989865401207908e+03,8.759927917822835752e+02,4.697001647212034059e-01
7.701127154298224923e+03,8.521482097055188660e+02,2.950461255529018278e-01
7.156288473780023196e+03,8.468082910954569797e+02,2.520762256397860446e-01
7.122168415672768788e+03,8.727950791896778355e+02,6.333747761100292362e-01
2.705316535619801471e+03,9.089729582360104132e+02,8.440560646348767015e-01
1.110350631081214487e+03,8.409988897224375251e+02,1.603979827971861116e+00
7.986419030888907400e+03,8.417742549117950830e+02,2.589814997958033715e-01
5.245736265824330076e+03,8.663373865379538756e+02,3.308303571357484318e-01
8.471245118202739832e+03,8.978447571528288336e+02,1.328431974771400848e+00
3.020560106608252681e+03,9.076249541112383667e+02,9.012555050068555840e-01
2.094494699032583867e+03,8.555267359387770512e+02,6.573175132861328596e-01
3.010732279099364860e+03,8.906166347623452566e+02,4.988204922927374496e-01
1.140730143925982884e+04,8.938247767269042470e+02,1.737227109799367897e+00
6.596688930861158951e+03,9.080954581780873696e+02,1.497578721199140928e+00
7.688448041709527388e+03,8.643485633443792722e+02,4.944890561311138244e-01
5.099778517835417915e+03,8.954369896631368420e+02,1.022453212641934339e+00
1.105293463603847522e+04,8.432647054180491750e+02,3.601017531658986526e-01
4.164987137915927633e+03,8.681979192954903510e+02,2.870659286800761878e-01
1.049545138438775939e+04,9.035703705556782097e+02,1.717720366130388587e+00
1.041945980483798121e+04,8.428800280256274391e+02,3.222247867708546432e-01
4.158235468250080885e+03,8.996003150701695859e+02,9.729329859261048874e-01
5.399840527566261699e+03,8.692109284672046670e+02,3.897050385815764018e-01
